"Country.Region","date","Confirmed","Deaths","Recovered"
"Japan","01-30-2020",11,0,1
"Macau","01-30-2020",7,0,0
"Malaysia","01-30-2020",8,0,0
"Nepal","01-30-2020",1,0,0
"Philippines","01-30-2020",1,0,0
"Singapore","01-30-2020",10,0,0
"South Korea","01-30-2020",4,0,0
"Sri Lanka","01-30-2020",1,0,0
"Taiwan","01-30-2020",9,0,0
"Thailand","01-30-2020",14,0,5
"United Arab Emirates","01-30-2020",4,0,0
"US","01-30-2020",5,0,0
"Vietnam","01-30-2020",2,0,0
"Australia","01-31-2020",9,0,2
"Cambodia","01-31-2020",1,0,0
"Canada","01-31-2020",3,0,0
"China","01-31-2020",9783,213,214
"Finland","01-31-2020",1,0,0
"France","01-31-2020",5,0,0
"Germany","01-31-2020",5,0,0
"Hong Kong","01-31-2020",12,0,0
"India","01-31-2020",1,0,0
"Italy","01-31-2020",2,0,0
"Japan","01-31-2020",15,0,1
"Macau","01-31-2020",7,0,0
"Malaysia","01-31-2020",8,0,0
"Nepal","01-31-2020",1,0,0
"Philippines","01-31-2020",1,0,0
"Russia","01-31-2020",2,0,0
"Singapore","01-31-2020",13,0,0
"South Korea","01-31-2020",11,0,0
"Sri Lanka","01-31-2020",1,0,0
"Sweden","01-31-2020",1,0,0
"Taiwan","01-31-2020",10,0,0
"Thailand","01-31-2020",19,0,5
"UK","01-31-2020",2,0,0
"United Arab Emirates","01-31-2020",4,0,0
"US","01-31-2020",6,0,0
"Vietnam","01-31-2020",2,0,0
"Australia","02-01-2020",12,0,2
"Cambodia","02-01-2020",1,0,0
"Canada","02-01-2020",4,0,0
"China","02-01-2020",11871,259,275
"Finland","02-01-2020",1,0,0
"France","02-01-2020",6,0,0
"Germany","02-01-2020",8,0,0
"Hong Kong","02-01-2020",13,0,0
"India","02-01-2020",1,0,0
"Italy","02-01-2020",2,0,0
"Japan","02-01-2020",20,0,1
"Macau","02-01-2020",7,0,0
"Malaysia","02-01-2020",8,0,0
"Nepal","02-01-2020",1,0,0
"Philippines","02-01-2020",1,0,0
"Russia","02-01-2020",2,0,0
"Singapore","02-01-2020",16,0,0
"South Korea","02-01-2020",12,0,0
"Spain","02-01-2020",1,0,0
"Sri Lanka","02-01-2020",1,0,0
"Sweden","02-01-2020",1,0,0
"Taiwan","02-01-2020",10,0,0
"Thailand","02-01-2020",19,0,5
"UK","02-01-2020",2,0,0
"United Arab Emirates","02-01-2020",4,0,0
"US","02-01-2020",8,0,0
"Vietnam","02-01-2020",6,0,1
"Australia","02-02-2020",12,0,2
"Cambodia","02-02-2020",1,0,0
"Canada","02-02-2020",4,0,0
"China","02-02-2020",16607,361,463
"Finland","02-02-2020",1,0,0
"France","02-02-2020",6,0,0
"Germany","02-02-2020",10,0,0
"Hong Kong","02-02-2020",15,0,0
"India","02-02-2020",2,0,0
"Italy","02-02-2020",2,0,0
"Japan","02-02-2020",20,0,1
"Macau","02-02-2020",8,0,0
"Malaysia","02-02-2020",8,0,0
"Nepal","02-02-2020",1,0,0
"Philippines","02-02-2020",2,1,0
"Russia","02-02-2020",2,0,0
"Singapore","02-02-2020",18,0,0
"South Korea","02-02-2020",15,0,0
"Spain","02-02-2020",1,0,0
"Sri Lanka","02-02-2020",1,0,0
"Sweden","02-02-2020",1,0,0
"Taiwan","02-02-2020",10,0,0
"Thailand","02-02-2020",19,0,5
"UK","02-02-2020",2,0,0
"United Arab Emirates","02-02-2020",5,0,0
"US","02-02-2020",8,0,0
"Vietnam","02-02-2020",6,0,1
"Australia","02-03-2020",12,0,2
"Cambodia","02-03-2020",1,0,0
"Canada","02-03-2020",4,0,0
"China","02-03-2020",19693,425,614
"Finland","02-03-2020",1,0,0
"France","02-03-2020",6,0,0
"Germany","02-03-2020",12,0,0
"Hong Kong","02-03-2020",15,0,0
"India","02-03-2020",3,0,0
"Italy","02-03-2020",2,0,0
"Japan","02-03-2020",20,0,1
"Macau","02-03-2020",8,0,0
"Malaysia","02-03-2020",8,0,0
"Nepal","02-03-2020",1,0,0
"Philippines","02-03-2020",2,1,0
"Russia","02-03-2020",2,0,0
"Singapore","02-03-2020",18,0,0
"South Korea","02-03-2020",15,0,0
"Spain","02-03-2020",1,0,0
"Sri Lanka","02-03-2020",1,0,0
"Sweden","02-03-2020",1,0,0
"Taiwan","02-03-2020",10,0,0
"Thailand","02-03-2020",19,0,5
"UK","02-03-2020",2,0,0
"United Arab Emirates","02-03-2020",5,0,0
"US","02-03-2020",11,0,0
"Vietnam","02-03-2020",8,0,1
"Australia","02-04-2020",13,0,2
"Belgium","02-04-2020",1,0,0
"Cambodia","02-04-2020",1,0,0
"Canada","02-04-2020",4,0,0
"China","02-04-2020",23680,490,843
"Finland","02-04-2020",1,0,0
"France","02-04-2020",6,0,0
"Germany","02-04-2020",12,0,0
"Hong Kong","02-04-2020",17,1,0
"India","02-04-2020",3,0,0
"Italy","02-04-2020",2,0,0
"Japan","02-04-2020",22,0,1
"Macau","02-04-2020",10,0,0
"Malaysia","02-04-2020",10,0,0
"Nepal","02-04-2020",1,0,0
"Philippines","02-04-2020",2,1,0
"Russia","02-04-2020",2,0,0
"Singapore","02-04-2020",24,0,0
"South Korea","02-04-2020",16,0,0
"Spain","02-04-2020",1,0,0
"Sri Lanka","02-04-2020",1,0,0
"Sweden","02-04-2020",1,0,0
"Taiwan","02-04-2020",11,0,0
"Thailand","02-04-2020",25,0,5
"UK","02-04-2020",2,0,0
"United Arab Emirates","02-04-2020",5,0,0
"US","02-04-2020",11,0,0
"Vietnam","02-04-2020",8,0,1
"Australia","02-05-2020",13,0,2
"Belgium","02-05-2020",1,0,0
"Cambodia","02-05-2020",1,0,0
"Canada","02-05-2020",5,0,0
"China","02-05-2020",27409,562,1115
"Finland","02-05-2020",1,0,0
"France","02-05-2020",6,0,0
"Germany","02-05-2020",12,0,0
"Hong Kong","02-05-2020",21,1,0
"India","02-05-2020",3,0,0
"Italy","02-05-2020",2,0,0
"Japan","02-05-2020",22,0,1
"Macau","02-05-2020",10,0,0
"Malaysia","02-05-2020",12,0,0
"Nepal","02-05-2020",1,0,0
"Philippines","02-05-2020",2,1,0
"Russia","02-05-2020",2,0,0
"Singapore","02-05-2020",28,0,0
"South Korea","02-05-2020",19,0,0
"Spain","02-05-2020",1,0,0
"Sri Lanka","02-05-2020",1,0,0
"Sweden","02-05-2020",1,0,0
"Taiwan","02-05-2020",11,0,0
"Thailand","02-05-2020",25,0,5
"UK","02-05-2020",2,0,0
"United Arab Emirates","02-05-2020",5,0,0
"US","02-05-2020",12,0,0
"Vietnam","02-05-2020",8,0,1
"Australia","02-06-2020",14,0,2
"Belgium","02-06-2020",1,0,0
"Cambodia","02-06-2020",1,0,0
"Canada","02-06-2020",5,0,0
"China","02-06-2020",30553,632,1476
"Finland","02-06-2020",1,0,0
"France","02-06-2020",6,0,0
"Germany","02-06-2020",12,0,0
"Hong Kong","02-06-2020",24,1,0
"India","02-06-2020",3,0,0
"Italy","02-06-2020",2,0,0
"Japan","02-06-2020",45,0,1
"Macau","02-06-2020",10,0,1
"Malaysia","02-06-2020",12,0,0
"Nepal","02-06-2020",1,0,0
"Philippines","02-06-2020",2,1,0
"Russia","02-06-2020",2,0,0
"Singapore","02-06-2020",28,0,0
"South Korea","02-06-2020",23,0,0
"Spain","02-06-2020",1,0,0
"Sri Lanka","02-06-2020",1,0,0
"Sweden","02-06-2020",1,0,0
"Taiwan","02-06-2020",16,0,1
"Thailand","02-06-2020",25,0,5
"UK","02-06-2020",2,0,0
"United Arab Emirates","02-06-2020",5,0,0
"US","02-06-2020",12,0,0
"Vietnam","02-06-2020",10,0,1
"Australia","02-07-2020",15,0,2
"Belgium","02-07-2020",1,0,0
"Cambodia","02-07-2020",1,0,0
"Canada","02-07-2020",7,0,0
"China","02-07-2020",34075,717,1998
"Finland","02-07-2020",1,0,0
"France","02-07-2020",6,0,0
"Germany","02-07-2020",13,0,0
"Hong Kong","02-07-2020",25,1,0
"India","02-07-2020",3,0,0
"Italy","02-07-2020",3,0,0
"Japan","02-07-2020",25,0,1
"Macau","02-07-2020",10,0,1
"Malaysia","02-07-2020",12,0,1
"Nepal","02-07-2020",1,0,0
"Others","02-07-2020",61,0,0
"Philippines","02-07-2020",3,1,0
"Russia","02-07-2020",2,0,0
"Singapore","02-07-2020",30,0,0
"South Korea","02-07-2020",24,0,1
"Spain","02-07-2020",1,0,0
"Sri Lanka","02-07-2020",1,0,0
"Sweden","02-07-2020",1,0,0
"Taiwan","02-07-2020",16,0,1
"Thailand","02-07-2020",25,0,5
"UK","02-07-2020",3,0,0
"United Arab Emirates","02-07-2020",5,0,0
"US","02-07-2020",12,0,0
"Vietnam","02-07-2020",10,0,1
"Australia","02-08-2020",15,0,2
"Belgium","02-08-2020",1,0,0
"Cambodia","02-08-2020",1,0,0
"Canada","02-08-2020",7,0,0
"China","02-08-2020",36778,804,2595
"Finland","02-08-2020",1,0,0
"France","02-08-2020",11,0,0
"Germany","02-08-2020",13,0,0
"Hong Kong","02-08-2020",26,1,0
"India","02-08-2020",3,0,0
"Italy","02-08-2020",3,0,0
"Japan","02-08-2020",25,0,1
"Macau","02-08-2020",10,0,1
"Malaysia","02-08-2020",16,0,1
"Nepal","02-08-2020",1,0,0
"Others","02-08-2020",61,0,0
"Philippines","02-08-2020",3,1,0
"Russia","02-08-2020",2,0,0
"Singapore","02-08-2020",33,0,2
"South Korea","02-08-2020",24,0,1
"Spain","02-08-2020",1,0,0
"Sri Lanka","02-08-2020",1,0,1
"Sweden","02-08-2020",1,0,0
"Taiwan","02-08-2020",17,0,1
"Thailand","02-08-2020",32,0,10
"UK","02-08-2020",3,0,0
"United Arab Emirates","02-08-2020",7,0,0
"US","02-08-2020",12,0,0
"Vietnam","02-08-2020",13,0,1
"Australia","02-09-2020",15,0,2
"Belgium","02-09-2020",1,0,0
"Cambodia","02-09-2020",1,0,0
"Canada","02-09-2020",7,0,0
"China","02-09-2020",39790,904,3218
"Finland","02-09-2020",1,0,0
"France","02-09-2020",11,0,0
"Germany","02-09-2020",14,0,0
"Hong Kong","02-09-2020",29,1,0
"India","02-09-2020",3,0,0
"Italy","02-09-2020",3,0,0
"Japan","02-09-2020",26,0,1
"Macau","02-09-2020",10,0,1
"Malaysia","02-09-2020",16,0,1
"Nepal","02-09-2020",1,0,0
"Others","02-09-2020",64,0,0
"Philippines","02-09-2020",3,1,0
"Russia","02-09-2020",2,0,0
"Singapore","02-09-2020",40,0,2
"South Korea","02-09-2020",25,0,3
"Spain","02-09-2020",2,0,0
"Sri Lanka","02-09-2020",1,0,1
"Sweden","02-09-2020",1,0,0
"Taiwan","02-09-2020",18,0,1
"Thailand","02-09-2020",32,0,10
"UK","02-09-2020",3,0,0
"United Arab Emirates","02-09-2020",7,0,0
"US","02-09-2020",12,0,3
"Vietnam","02-09-2020",13,0,1
"Australia","02-10-2020",15,0,2
"Belgium","02-10-2020",1,0,0
"Cambodia","02-10-2020",1,0,0
"Canada","02-10-2020",7,0,0
"China","02-10-2020",42306,1011,3917
"Finland","02-10-2020",1,0,0
"France","02-10-2020",11,0,0
"Germany","02-10-2020",14,0,0
"Hong Kong","02-10-2020",38,1,0
"India","02-10-2020",3,0,0
"Italy","02-10-2020",3,0,0
"Japan","02-10-2020",26,0,4
"Macau","02-10-2020",10,0,1
"Malaysia","02-10-2020",18,0,1
"Nepal","02-10-2020",1,0,0
"Others","02-10-2020",135,0,0
"Philippines","02-10-2020",3,1,0
"Russia","02-10-2020",2,0,0
"Singapore","02-10-2020",45,0,2
"South Korea","02-10-2020",27,0,3
"Spain","02-10-2020",2,0,0
"Sri Lanka","02-10-2020",1,0,1
"Sweden","02-10-2020",1,0,0
"Taiwan","02-10-2020",18,0,1
"Thailand","02-10-2020",32,0,10
"UK","02-10-2020",8,0,0
"United Arab Emirates","02-10-2020",8,0,0
"US","02-10-2020",12,0,3
"Vietnam","02-10-2020",14,0,1
"Australia","02-11-2020",15,0,2
"Belgium","02-11-2020",1,0,0
"Cambodia","02-11-2020",1,0,0
"Canada","02-11-2020",7,0,0
"China","02-11-2020",44327,1111,4635
"Finland","02-11-2020",1,0,0
"France","02-11-2020",11,0,0
"Germany","02-11-2020",16,0,0
"Hong Kong","02-11-2020",49,1,0
"India","02-11-2020",3,0,0
"Italy","02-11-2020",3,0,0
"Japan","02-11-2020",26,0,9
"Macau","02-11-2020",10,0,1
"Malaysia","02-11-2020",18,0,3
"Nepal","02-11-2020",1,0,0
"Others","02-11-2020",135,0,0
"Philippines","02-11-2020",3,1,0
"Russia","02-11-2020",2,0,0
"Singapore","02-11-2020",47,0,9
"South Korea","02-11-2020",28,0,3
"Spain","02-11-2020",2,0,0
"Sri Lanka","02-11-2020",1,0,1
"Sweden","02-11-2020",1,0,0
"Taiwan","02-11-2020",18,0,1
"Thailand","02-11-2020",33,0,10
"UK","02-11-2020",8,0,0
"United Arab Emirates","02-11-2020",8,0,0
"US","02-11-2020",13,0,3
"Vietnam","02-11-2020",15,0,6
"Australia","02-12-2020",15,0,2
"Belgium","02-12-2020",1,0,0
"Cambodia","02-12-2020",1,0,1
"Canada","02-12-2020",7,0,1
"China","02-12-2020",44699,1116,5079
"Finland","02-12-2020",1,0,1
"France","02-12-2020",11,0,2
"Germany","02-12-2020",16,0,0
"Hong Kong","02-12-2020",50,1,1
"India","02-12-2020",3,0,0
"Italy","02-12-2020",3,0,0
"Japan","02-12-2020",28,0,9
"Macau","02-12-2020",10,0,2
"Malaysia","02-12-2020",18,0,3
"Nepal","02-12-2020",1,0,1
"Others","02-12-2020",175,0,0
"Philippines","02-12-2020",3,1,1
"Russia","02-12-2020",2,0,2
"Singapore","02-12-2020",50,0,15
"South Korea","02-12-2020",28,0,7
"Spain","02-12-2020",2,0,0
"Sri Lanka","02-12-2020",1,0,1
"Sweden","02-12-2020",1,0,0
"Taiwan","02-12-2020",18,0,1
"Thailand","02-12-2020",33,0,10
"UK","02-12-2020",9,0,1
"United Arab Emirates","02-12-2020",8,0,1
"US","02-12-2020",13,0,3
"Vietnam","02-12-2020",15,0,6
"Australia","02-13-2020",15,0,8
"Belgium","02-13-2020",1,0,0
"Cambodia","02-13-2020",1,0,1
"Canada","02-13-2020",7,0,1
"China","02-13-2020",59832,1368,6213
"Finland","02-13-2020",1,0,1
"France","02-13-2020",11,0,2
"Germany","02-13-2020",16,0,1
"Hong Kong","02-13-2020",53,1,1
"India","02-13-2020",3,0,0
"Italy","02-13-2020",3,0,0
"Japan","02-13-2020",28,1,9
"Macau","02-13-2020",10,0,3
"Malaysia","02-13-2020",19,0,3
"Nepal","02-13-2020",1,0,1
"Others","02-13-2020",175,0,0
"Philippines","02-13-2020",3,1,1
"Russia","02-13-2020",2,0,2
"Singapore","02-13-2020",58,0,15
"South Korea","02-13-2020",28,0,7
"Spain","02-13-2020",2,0,0
"Sri Lanka","02-13-2020",1,0,1
"Sweden","02-13-2020",1,0,0
"Taiwan","02-13-2020",18,0,1
"Thailand","02-13-2020",33,0,12
"UK","02-13-2020",9,0,1
"United Arab Emirates","02-13-2020",8,0,1
"US","02-13-2020",15,0,3
"Vietnam","02-13-2020",16,0,7
"Australia","02-14-2020",15,0,8
"Belgium","02-14-2020",1,0,0
"Cambodia","02-14-2020",1,0,1
"Canada","02-14-2020",7,0,1
"China","02-14-2020",66292,1520,7973
"Egypt","02-14-2020",1,0,0
"Finland","02-14-2020",1,0,1
"France","02-14-2020",11,0,2
"Germany","02-14-2020",16,0,1
"Hong Kong","02-14-2020",56,1,1
"India","02-14-2020",3,0,0
"Italy","02-14-2020",3,0,0
"Japan","02-14-2020",29,1,9
"Macau","02-14-2020",10,0,3
"Malaysia","02-14-2020",19,0,3
"Nepal","02-14-2020",1,0,1
"Others","02-14-2020",218,0,0
"Philippines","02-14-2020",3,1,1
"Russia","02-14-2020",2,0,2
"Singapore","02-14-2020",67,0,17
"South Korea","02-14-2020",28,0,7
"Spain","02-14-2020",2,0,0
"Sri Lanka","02-14-2020",1,0,1
"Sweden","02-14-2020",1,0,0
"Taiwan","02-14-2020",18,0,2
"Thailand","02-14-2020",33,0,12
"UK","02-14-2020",9,0,1
"United Arab Emirates","02-14-2020",8,0,1
"US","02-14-2020",15,0,3
"Vietnam","02-14-2020",16,0,7
"Australia","02-15-2020",15,0,8
"Belgium","02-15-2020",1,0,0
"Cambodia","02-15-2020",1,0,1
"Canada","02-15-2020",7,0,1
"China","02-15-2020",68347,1662,9294
"Egypt","02-15-2020",1,0,0
"Finland","02-15-2020",1,0,1
"France","02-15-2020",12,1,4
"Germany","02-15-2020",16,0,1
"Hong Kong","02-15-2020",56,1,1
"India","02-15-2020",3,0,0
"Italy","02-15-2020",3,0,0
"Japan","02-15-2020",43,1,12
"Macau","02-15-2020",10,0,3
"Malaysia","02-15-2020",22,0,7
"Nepal","02-15-2020",1,0,1
"Others","02-15-2020",285,0,0
"Philippines","02-15-2020",3,1,1
"Russia","02-15-2020",2,0,2
"Singapore","02-15-2020",72,0,18
"South Korea","02-15-2020",28,0,9
"Spain","02-15-2020",2,0,2
"Sri Lanka","02-15-2020",1,0,1
"Sweden","02-15-2020",1,0,0
"Taiwan","02-15-2020",18,0,2
"Thailand","02-15-2020",33,0,12
"UK","02-15-2020",9,0,1
"United Arab Emirates","02-15-2020",8,0,3
"US","02-15-2020",15,0,3
"Vietnam","02-15-2020",16,0,7
"Australia","02-16-2020",15,0,8
"Belgium","02-16-2020",1,0,0
"Cambodia","02-16-2020",1,0,1
"Canada","02-16-2020",7,0,1
"China","02-16-2020",70446,1765,10748
"Egypt","02-16-2020",1,0,0
"Finland","02-16-2020",1,0,1
"France","02-16-2020",12,1,4
"Germany","02-16-2020",16,0,1
"Hong Kong","02-16-2020",57,1,2
"India","02-16-2020",3,0,3
"Italy","02-16-2020",3,0,0
"Japan","02-16-2020",59,1,12
"Macau","02-16-2020",10,0,5
"Malaysia","02-16-2020",22,0,7
"Nepal","02-16-2020",1,0,1
"Others","02-16-2020",355,0,0
"Philippines","02-16-2020",3,1,1
"Russia","02-16-2020",2,0,2
"Singapore","02-16-2020",75,0,18
"South Korea","02-16-2020",29,0,9
"Spain","02-16-2020",2,0,2
"Sri Lanka","02-16-2020",1,0,1
"Sweden","02-16-2020",1,0,0
"Taiwan","02-16-2020",20,1,2
"Thailand","02-16-2020",34,0,14
"UK","02-16-2020",9,0,8
"United Arab Emirates","02-16-2020",9,0,4
"US","02-16-2020",15,0,3
"Vietnam","02-16-2020",16,0,7
"Australia","02-17-2020",15,0,10
"Belgium","02-17-2020",1,0,1
"Cambodia","02-17-2020",1,0,1
"Canada","02-17-2020",8,0,1
"China","02-17-2020",72364,1863,12455
"Egypt","02-17-2020",1,0,0
"Finland","02-17-2020",1,0,1
"France","02-17-2020",12,1,4
"Germany","02-17-2020",16,0,1
"Hong Kong","02-17-2020",60,1,2
"India","02-17-2020",3,0,3
"Italy","02-17-2020",3,0,0
"Japan","02-17-2020",66,1,12
"Macau","02-17-2020",10,0,5
"Malaysia","02-17-2020",22,0,7
"Nepal","02-17-2020",1,0,1
"Others","02-17-2020",454,0,0
"Philippines","02-17-2020",3,1,1
"Russia","02-17-2020",2,0,2
"Singapore","02-17-2020",77,0,24
"South Korea","02-17-2020",30,0,10
"Spain","02-17-2020",2,0,2
"Sri Lanka","02-17-2020",1,0,1
"Sweden","02-17-2020",1,0,0
"Taiwan","02-17-2020",22,1,2
"Thailand","02-17-2020",35,0,15
"UK","02-17-2020",9,0,8
"United Arab Emirates","02-17-2020",9,0,4
"US","02-17-2020",15,0,3
"Vietnam","02-17-2020",16,0,7
"Australia","02-18-2020",15,0,10
"Belgium","02-18-2020",1,0,1
"Cambodia","02-18-2020",1,0,1
"Canada","02-18-2020",8,0,1
"China","02-18-2020",74139,2002,14199
"Egypt","02-18-2020",1,0,0
"Finland","02-18-2020",1,0,1
"France","02-18-2020",12,1,4
"Germany","02-18-2020",16,0,12
"Hong Kong","02-18-2020",62,1,2
"India","02-18-2020",3,0,3
"Italy","02-18-2020",3,0,0
"Japan","02-18-2020",74,1,13
"Macau","02-18-2020",10,0,5
"Malaysia","02-18-2020",22,0,13
"Nepal","02-18-2020",1,0,1
"Others","02-18-2020",542,0,0
"Philippines","02-18-2020",3,1,1
"Russia","02-18-2020",2,0,2
"Singapore","02-18-2020",81,0,29
"South Korea","02-18-2020",31,0,12
"Spain","02-18-2020",2,0,2
"Sri Lanka","02-18-2020",1,0,1
"Sweden","02-18-2020",1,0,0
"Taiwan","02-18-2020",22,1,2
"Thailand","02-18-2020",35,0,15
"UK","02-18-2020",9,0,8
"United Arab Emirates","02-18-2020",9,0,4
"US","02-18-2020",15,0,3
"Vietnam","02-18-2020",16,0,7
"Australia","02-19-2020",15,0,10
"Belgium","02-19-2020",1,0,1
"Cambodia","02-19-2020",1,0,1
"Canada","02-19-2020",8,0,1
"China","02-19-2020",74546,2114,15952
"Egypt","02-19-2020",1,0,0
"Finland","02-19-2020",1,0,1
"France","02-19-2020",12,1,4
"Germany","02-19-2020",16,0,12
"Hong Kong","02-19-2020",63,2,5
"India","02-19-2020",3,0,3
"Iran","02-19-2020",2,2,0
"Italy","02-19-2020",3,0,0
"Japan","02-19-2020",84,1,18
"Macau","02-19-2020",10,0,5
"Malaysia","02-19-2020",22,0,15
"Nepal","02-19-2020",1,0,1
"Others","02-19-2020",621,0,1
"Philippines","02-19-2020",3,1,1
"Russia","02-19-2020",2,0,2
"Singapore","02-19-2020",84,0,34
"South Korea","02-19-2020",31,0,12
"Spain","02-19-2020",2,0,2
"Sri Lanka","02-19-2020",1,0,1
"Sweden","02-19-2020",1,0,0
"Taiwan","02-19-2020",23,1,2
"Thailand","02-19-2020",35,0,15
"UK","02-19-2020",9,0,8
"United Arab Emirates","02-19-2020",9,0,4
"US","02-19-2020",15,0,3
"Vietnam","02-19-2020",16,0,7
"Australia","02-20-2020",15,0,10
"Belgium","02-20-2020",1,0,1
"Cambodia","02-20-2020",1,0,1
"Canada","02-20-2020",8,0,1
"China","02-20-2020",74999,2236,18002
"Egypt","02-20-2020",1,0,0
"Finland","02-20-2020",1,0,1
"France","02-20-2020",12,1,4
"Germany","02-20-2020",16,0,12
"Hong Kong","02-20-2020",68,2,6
"India","02-20-2020",3,0,3
"Iran","02-20-2020",5,2,0
"Italy","02-20-2020",3,0,0
"Japan","02-20-2020",94,1,18
"Macau","02-20-2020",10,0,6
"Malaysia","02-20-2020",22,0,15
"Nepal","02-20-2020",1,0,1
"Others","02-20-2020",634,2,1
"Philippines","02-20-2020",3,1,1
"Russia","02-20-2020",2,0,2
"Singapore","02-20-2020",84,0,34
"South Korea","02-20-2020",104,1,16
"Spain","02-20-2020",2,0,2
"Sri Lanka","02-20-2020",1,0,1
"Sweden","02-20-2020",1,0,0
"Taiwan","02-20-2020",24,1,2
"Thailand","02-20-2020",35,0,15
"UK","02-20-2020",9,0,8
"United Arab Emirates","02-20-2020",9,0,4
