*column definitions at bottom of table,,,,,,,,,
prot_group,Correlation.rho,LowerBound(95%CI),UpperBound(95%CI),p_value,day,death_threshold,num_countries,corrected_pvalue,norm_days
SARS-CoV-2 structural proteins,-0.351778656126482,-0.724368367685119,0.0268755980992,0.100272722540509,17,1,23,0.194850455827677,0.41025641025641
SARS-CoV-2 structural proteins,-0.410079051383399,-0.748343034250074,-0.0638553562662179,0.0530717912925032,18,1,23,0.132679478231258,0.435897435897436
SARS-CoV-2 structural proteins,-0.336363636363636,-0.760458659211917,0.094989295809956,0.136186609976046,19,1,21,0.239506079884278,0.461538461538462
SARS-CoV-2 structural proteins,-0.455639097744361,-0.830629353522129,-0.0693281040058823,0.0450044888169399,20,1,20,0.120011970178506,0.487179487179487
SARS-CoV-2 structural proteins,-0.491729323308271,-0.836640534090956,-0.135157752426006,0.0292072660445408,21,1,20,0.0834493315558309,0.512820512820513
SARS-CoV-2 structural proteins,-0.654411764705882,-0.982245534898816,-0.306374774606888,0.00544796712184481,22,1,17,0.0510802538787843,0.538461538461538
SARS-CoV-2 structural proteins,-0.652941176470588,-0.992606608118333,-0.28962947546872,0.00751001320696944,23,1,16,0.0510802538787843,0.564102564102564
SARS-CoV-2 structural proteins,-0.667647058823529,-1,-0.279016531063138,0.00595149183692322,24,1,16,0.0510802538787843,0.58974358974359
SARS-CoV-2 structural proteins,-0.632352941176471,-1,-0.229194119465585,0.0102160507757569,25,1,16,0.0510802538787843,0.615384615384615
SARS-CoV-2 structural proteins,-0.647058823529412,-1,-0.249558417231047,0.00821691356741321,26,1,16,0.0510802538787843,0.641025641025641
SARS-CoV-2 structural proteins,-0.632352941176471,-1,-0.229194119465585,0.0102160507757569,27,1,16,0.0510802538787843,0.666666666666667
SARS-CoV-2 structural proteins,-0.647058823529412,-1,-0.249558417231047,0.00821691356741321,28,1,16,0.0510802538787843,0.692307692307692
SARS-CoV-2 structural proteins,-0.635714285714286,-1,-0.197404913183388,0.0128746790922046,29,1,15,0.0572207959653538,0.717948717948718
SARS-CoV-2 structural proteins,-0.637362637362637,-1,-0.0876209155682053,0.0222885067534625,30,1,13,0.0709503821815879,0.743589743589744
SARS-CoV-2 structural proteins,-0.748251748251748,-1,-0.283548766091793,0.00735320726192815,31,1,12,0.0510802538787843,0.769230769230769
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.0719568300878873,0.0230588742090161,32,1,11,0.0709503821815879,0.794871794871795
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.0719568300878873,0.0230588742090161,33,1,11,0.0709503821815879,0.82051282051282
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.0719568300878873,0.0230588742090161,34,1,11,0.0709503821815879,0.846153846153846
SARS-CoV-2 structural proteins,-0.666666666666667,-1,0.0902388259036952,0.0588899911816579,35,1,9,0.138564685133313,0.871794871794872
SARS-CoV-2 structural proteins,-0.547619047619048,-1,0.553151678609898,0.170982142857143,36,1,8,0.243751933630683,0.897435897435897
SARS-CoV-2 structural proteins,-0.547619047619048,-1,0.553151678609898,0.170982142857143,37,1,8,0.243751933630683,0.923076923076923
SARS-CoV-2 structural proteins,-0.547619047619048,-1,0.553151678609898,0.170982142857143,38,1,8,0.243751933630683,0.948717948717949
SARS-CoV-2 structural proteins,-0.547619047619048,-1,0.553151678609898,0.170982142857143,39,1,8,0.243751933630683,0.974358974358974
SARS-CoV-2 structural proteins,-0.547619047619048,-1,0.553151678609898,0.170982142857143,40,1,8,0.243751933630683,1
Full SARS-CoV-2 proteome,0.0632411067193676,-0.373752710975014,0.496986062270753,0.774221534697652,1,1,23,0.808319187769788,0
Full SARS-CoV-2 proteome,-0.0326086956521739,-0.478509331020675,0.413129496609177,0.883337839113326,2,1,23,0.883337839113326,0.0256410256410256
Full SARS-CoV-2 proteome,-0.0592885375494071,-0.509169686982039,0.391458975121358,0.788111208075543,3,1,23,0.808319187769788,0.0512820512820513
Full SARS-CoV-2 proteome,-0.0988142292490119,-0.539465544369478,0.34356981234772,0.652742516526421,4,1,23,0.705667585433969,0.0769230769230769
Full SARS-CoV-2 proteome,-0.109683794466403,-0.552190622266778,0.334718202917386,0.617141302372702,5,1,23,0.685712558191891,0.102564102564103
Full SARS-CoV-2 proteome,-0.136363636363636,-0.571604904174525,0.300935244137817,0.533413276533035,6,1,23,0.631075856100638,0.128205128205128
Full SARS-CoV-2 proteome,-0.115612648221344,-0.536977182089189,0.307971941444215,0.598069378344537,7,1,23,0.683507860965185,0.153846153846154
Full SARS-CoV-2 proteome,-0.135375494071146,-0.570000812495094,0.302119652579115,0.536414477685542,8,1,23,0.631075856100638,0.179487179487179
Full SARS-CoV-2 proteome,-0.179841897233202,-0.600354045823107,0.244243999714001,0.409826120475852,9,1,23,0.512282650594815,0.205128205128205
Full SARS-CoV-2 proteome,-0.218379446640316,-0.629781697319551,0.197408767931776,0.315283134222415,10,1,23,0.406816947383761,0.230769230769231
Full SARS-CoV-2 proteome,-0.286561264822134,-0.68690782738709,0.119308363386015,0.184429423987535,11,1,23,0.245905898650047,0.256410256410256
Full SARS-CoV-2 proteome,-0.310276679841897,-0.698963846270399,0.0847999154679753,0.149497360632629,12,1,23,0.206203256045005,0.282051282051282
Full SARS-CoV-2 proteome,-0.33695652173913,-0.725229510740257,0.0574351576313778,0.116205712499437,13,1,23,0.166008160713481,0.307692307692308
Full SARS-CoV-2 proteome,-0.379446640316206,-0.750953069064658,-0.000792714853091033,0.0750006737589807,14,1,23,0.153248494172225,0.333333333333333
Full SARS-CoV-2 proteome,-0.362648221343874,-0.741466878661739,0.0236969666053465,0.0896761227551398,15,1,23,0.163047495918436,0.358974358974359
Full SARS-CoV-2 proteome,-0.367588932806324,-0.742808168018143,0.0149943899297023,0.0851506080192653,16,1,23,0.16219163432241,0.384615384615385
Full SARS-CoV-2 proteome,-0.377470355731225,-0.747497125882968,-0.000404384269578076,0.0766242470861124,17,1,23,0.153248494172225,0.41025641025641
Full SARS-CoV-2 proteome,-0.429841897233202,-0.774569920401516,-0.0765043893858718,0.0418473770454796,18,1,23,0.0984644165775991,0.435897435897436
Full SARS-CoV-2 proteome,-0.42987012987013,-0.828662578498607,-0.0207300595089088,0.0530966749958701,19,1,21,0.117992611101934,0.461538461538462
Full SARS-CoV-2 proteome,-0.530827067669173,-0.88502791063394,-0.162814924392932,0.0174489109842527,20,1,20,0.0554996916002568,0.487179487179487
Full SARS-CoV-2 proteome,-0.565413533834586,-0.888172913404444,-0.228616439193594,0.0105630666813396,21,1,20,0.04441155106781,0.512820512820513
Full SARS-CoV-2 proteome,-0.718137254901961,-1,-0.390436249851962,0.00165183106670571,22,1,17,0.0324174679395375,0.538461538461538
Full SARS-CoV-2 proteome,-0.720588235294118,-1,-0.379716451010293,0.00230584091415165,23,1,16,0.0324174679395375,0.564102564102564
Full SARS-CoV-2 proteome,-0.688235294117647,-1,-0.292248800011518,0.00421046942848113,24,1,16,0.0324174679395375,0.58974358974359
Full SARS-CoV-2 proteome,-0.670588235294118,-1,-0.253773948247591,0.00567305688941906,25,1,16,0.0324174679395375,0.615384615384615
Full SARS-CoV-2 proteome,-0.679411764705882,-1,-0.269148121858974,0.0048988929348089,26,1,16,0.0324174679395375,0.641025641025641
Full SARS-CoV-2 proteome,-0.670588235294118,-1,-0.253773948247591,0.00567305688941906,27,1,16,0.0324174679395375,0.666666666666667
Full SARS-CoV-2 proteome,-0.679411764705882,-1,-0.269148121858974,0.0048988929348089,28,1,16,0.0324174679395375,0.692307692307692
Full SARS-CoV-2 proteome,-0.646428571428571,-1,-0.21086959031709,0.0111028877669525,29,1,15,0.04441155106781,0.717948717948718
Full SARS-CoV-2 proteome,-0.648351648351648,-1,-0.10457902469003,0.0195813925695771,30,1,13,0.0554996916002568,0.743589743589744
Full SARS-CoV-2 proteome,-0.755244755244755,-1,-0.293331066405374,0.00659654322080617,31,1,12,0.0329827161040308,0.769230769230769
Full SARS-CoV-2 proteome,-0.7,-1,-0.0844598886226617,0.0208123843500963,32,1,11,0.0554996916002568,0.794871794871795
Full SARS-CoV-2 proteome,-0.7,-1,-0.0844598886226617,0.0208123843500963,33,1,11,0.0554996916002568,0.82051282051282
Full SARS-CoV-2 proteome,-0.7,-1,-0.0844598886226617,0.0208123843500963,34,1,11,0.0554996916002568,0.846153846153846
Full SARS-CoV-2 proteome,-0.716666666666667,-1,0.00543596028014244,0.0368661816578483,35,1,9,0.0921654541446208,0.871794871794872
Full SARS-CoV-2 proteome,-0.619047619047619,-1,0.446198087590781,0.114980158730159,36,1,8,0.166008160713481,0.897435897435897
Full SARS-CoV-2 proteome,-0.619047619047619,-1,0.446198087590781,0.114980158730159,37,1,8,0.166008160713481,0.923076923076923
Full SARS-CoV-2 proteome,-0.619047619047619,-1,0.446198087590781,0.114980158730159,38,1,8,0.166008160713481,0.948717948717949
Full SARS-CoV-2 proteome,-0.619047619047619,-1,0.446198087590781,0.114980158730159,39,1,8,0.166008160713481,0.974358974358974
Full SARS-CoV-2 proteome,-0.619047619047619,-1,0.446198087590781,0.114980158730159,40,1,8,0.166008160713481,1
SARS-CoV-2 structural proteins,0.0928853754940711,-0.386010287132383,0.568640471382296,0.672488573933086,1,2,23,0.757156640669623,0
SARS-CoV-2 structural proteins,0.0810276679841897,-0.363872769107963,0.523437310766712,0.71261801474788,2,2,23,0.757156640669623,0.0303030303030303
SARS-CoV-2 structural proteins,0.0820158102766798,-0.34278595842279,0.504272636964136,0.709243165567221,3,2,23,0.757156640669623,0.0606060606060606
SARS-CoV-2 structural proteins,0.0207509881422925,-0.413370940836266,0.454385587799401,0.926262517554871,4,2,23,0.954331078692898,0.0909090909090909
SARS-CoV-2 structural proteins,-0.00988142292490119,-0.469700972770541,0.449829831515972,0.96579266981776,5,2,23,0.96579266981776,0.121212121212121
SARS-CoV-2 structural proteins,-0.0978260869565217,-0.546325278717626,0.35278486519753,0.656018005257612,6,2,23,0.757156640669623,0.151515151515152
SARS-CoV-2 structural proteins,-0.0839920948616601,-0.52738415711446,0.361186841569788,0.702509719734306,7,2,23,0.757156640669623,0.181818181818182
SARS-CoV-2 structural proteins,-0.174901185770751,-0.601546998899997,0.254181273965742,0.422997153741683,8,2,23,0.553150124123739,0.212121212121212
SARS-CoV-2 structural proteins,-0.134387351778656,-0.56798278119712,0.301590576544672,0.539423703311447,9,2,23,0.679274293058859,0.242424242424242
SARS-CoV-2 structural proteins,-0.185770750988142,-0.596640360987313,0.228564311963309,0.394330031434236,10,2,23,0.536288842750561,0.272727272727273
SARS-CoV-2 structural proteins,-0.204545454545455,-0.63419941507256,0.22916958366064,0.347526020288427,11,2,23,0.492328528741938,0.303030303030303
SARS-CoV-2 structural proteins,-0.261857707509881,-0.673004409077853,0.154324730379788,0.226501959745749,12,2,23,0.334828983971977,0.333333333333333
SARS-CoV-2 structural proteins,-0.278656126482213,-0.690750101838828,0.138527732898442,0.197248205761589,13,2,23,0.304838136177002,0.363636363636364
SARS-CoV-2 structural proteins,-0.314229249011858,-0.726306442922925,0.103154419732744,0.144174686579014,14,2,23,0.233425683032689,0.393939393939394
SARS-CoV-2 structural proteins,-0.400338791643139,-0.812712376901549,0.0181920471848473,0.0659229027551095,15,2,22,0.112068934683686,0.424242424242424
SARS-CoV-2 structural proteins,-0.438961038961039,-0.845002920195502,-0.0258069895500429,0.047868252301,16,2,21,0.0856589778017895,0.454545454545455
SARS-CoV-2 structural proteins,-0.515789473684211,-0.879734474403476,-0.140348337257894,0.0254528179820108,17,2,19,0.0509056359640216,0.484848484848485
SARS-CoV-2 structural proteins,-0.52280701754386,-0.877400308204979,-0.157114009648445,0.0232737303793958,18,2,19,0.0494566770562161,0.515151515151515
SARS-CoV-2 structural proteins,-0.514963880288958,-0.897201209381055,-0.119041681481771,0.0306071335037593,19,2,18,0.0578134743959898,0.545454545454545
SARS-CoV-2 structural proteins,-0.591176470588235,-0.961196728063189,-0.19900339234844,0.0179141697521811,20,2,16,0.0494566770562161,0.575757575757576
SARS-CoV-2 structural proteins,-0.589285714285714,-0.993812172653294,-0.158101039000393,0.0232480659519618,21,2,15,0.0494566770562161,0.606060606060606
SARS-CoV-2 structural proteins,-0.630769230769231,-1,-0.184247913676024,0.018165559476338,22,2,14,0.0494566770562161,0.636363636363636
SARS-CoV-2 structural proteins,-0.665934065934066,-0.998999353290414,-0.295053714850668,0.01147552394698,23,2,14,0.0440158995572012,0.666666666666667
SARS-CoV-2 structural proteins,-0.741758241758242,-1,-0.427972506890871,0.00529007871807324,24,2,13,0.0440158995572012,0.696969696969697
SARS-CoV-2 structural proteins,-0.71978021978022,-0.983875864177303,-0.411977460523529,0.00749781203785237,25,2,13,0.0440158995572012,0.727272727272727
SARS-CoV-2 structural proteins,-0.71978021978022,-0.983875864177303,-0.411977460523529,0.00749781203785237,26,2,13,0.0440158995572012,0.757575757575758
SARS-CoV-2 structural proteins,-0.699300699300699,-1,-0.28656222145612,0.0145393118705073,27,2,12,0.0494336603597247,0.787878787878788
SARS-CoV-2 structural proteins,-0.806060606060606,-1,-0.471990459655225,0.00823557082285114,28,2,10,0.0440158995572012,0.818181818181818
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,29,2,10,0.0440158995572012,0.848484848484849
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,30,2,10,0.0440158995572012,0.878787878787879
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,31,2,10,0.0440158995572012,0.909090909090909
SARS-CoV-2 structural proteins,-0.833333333333333,-1,-0.477350029334467,0.00826719576719577,32,2,9,0.0440158995572012,0.939393939393939
SARS-CoV-2 structural proteins,-0.80952380952381,-1,-0.238264365399829,0.0217757936507936,33,2,8,0.0494566770562161,0.96969696969697
SARS-CoV-2 structural proteins,-0.80952380952381,-1,-0.238264365399829,0.0217757936507936,34,2,8,0.0494566770562161,1
Full SARS-CoV-2 proteome,0.114624505928854,-0.367906280897228,0.594123021421243,0.601230379476252,1,2,23,0.730065460792591,0
Full SARS-CoV-2 proteome,0.0810276679841897,-0.36419613759601,0.523327497635692,0.71261801474788,2,2,23,0.781581048433159,0.0303030303030303
Full SARS-CoV-2 proteome,0.0741106719367589,-0.357397312445081,0.503073714306585,0.736388247162914,3,2,23,0.782412512610596,0.0606060606060606
Full SARS-CoV-2 proteome,0.0108695652173913,-0.409951739348155,0.431311835866254,0.962194331947486,4,2,23,0.962194331947486,0.0909090909090909
Full SARS-CoV-2 proteome,-0.0286561264822134,-0.479880469526728,0.42305554588375,0.89761602928997,5,2,23,0.924816515026029,0.121212121212121
Full SARS-CoV-2 proteome,-0.105731225296443,-0.540543948769905,0.331193258569968,0.629994266340756,6,2,23,0.73861396743399,0.151515151515152
Full SARS-CoV-2 proteome,-0.0988142292490119,-0.538491846370202,0.342162932729377,0.652742516526421,7,2,23,0.739774852063277,0.181818181818182
Full SARS-CoV-2 proteome,-0.193675889328063,-0.617242728818266,0.232923221495603,0.374199876117902,8,2,23,0.489338299538795,0.212121212121212
Full SARS-CoV-2 proteome,-0.147233201581028,-0.57342582793227,0.281612662186995,0.500940456378051,9,2,23,0.63081390803162,0.242424242424242
Full SARS-CoV-2 proteome,-0.199604743083004,-0.608600170717148,0.213181023717756,0.359505272906614,10,2,23,0.488927171152995,0.272727272727273
Full SARS-CoV-2 proteome,-0.217391304347826,-0.637943699308024,0.207492906802805,0.317522407559206,11,2,23,0.449823410708875,0.303030303030303
Full SARS-CoV-2 proteome,-0.264822134387352,-0.675572217781311,0.151559310054537,0.221138199247707,12,2,23,0.326899946714002,0.333333333333333
Full SARS-CoV-2 proteome,-0.279644268774704,-0.684650380171847,0.131805419206155,0.195613028408047,13,2,23,0.302311043903346,0.363636363636364
Full SARS-CoV-2 proteome,-0.329051383399209,-0.73183953986511,0.0802886450550881,0.125434930917727,14,2,23,0.203085126247748,0.393939393939394
Full SARS-CoV-2 proteome,-0.426312817617165,-0.820742037881003,-0.0236283166402704,0.0491202499702045,15,2,22,0.0835044249493477,0.424242424242424
Full SARS-CoV-2 proteome,-0.453246753246753,-0.833293125270442,-0.0632025382529904,0.0404783083351657,16,2,21,0.0724348675471387,0.454545454545455
Full SARS-CoV-2 proteome,-0.503508771929825,-0.864945673035338,-0.127652148881377,0.029655607536785,17,2,19,0.0560161475694827,0.484848484848485
Full SARS-CoV-2 proteome,-0.519298245614035,-0.873621910235817,-0.150207992885824,0.024343798237038,18,2,19,0.0551792760039529,0.515151515151515
Full SARS-CoV-2 proteome,-0.574819401444788,-0.936657686324109,-0.196056833247064,0.0141379383468187,19,2,18,0.0436990821628943,0.545454545454545
Full SARS-CoV-2 proteome,-0.65,-0.986920569865568,-0.28769080409105,0.00785717654862134,20,2,16,0.0436990821628943,0.575757575757576
Full SARS-CoV-2 proteome,-0.653571428571428,-1,-0.250233680677561,0.0100317834406097,21,2,15,0.0436990821628943,0.606060606060606
Full SARS-CoV-2 proteome,-0.657142857142857,-1,-0.209339806107996,0.0129319419751063,22,2,14,0.0436990821628943,0.636363636363636
Full SARS-CoV-2 proteome,-0.701098901098901,-1,-0.354361520769913,0.00686211373106961,23,2,14,0.0436990821628943,0.666666666666667
Full SARS-CoV-2 proteome,-0.769230769230769,-1,-0.467976070268534,0.00325008247770679,24,2,13,0.0436990821628943,0.696969696969697
Full SARS-CoV-2 proteome,-0.752747252747253,-0.987527795075236,-0.47271244105136,0.00438717111438994,25,2,13,0.0436990821628943,0.727272727272727
Full SARS-CoV-2 proteome,-0.752747252747253,-0.987527795075236,-0.47271244105136,0.00438717111438994,26,2,13,0.0436990821628943,0.757575757575758
Full SARS-CoV-2 proteome,-0.734265734265734,-1,-0.329304775701309,0.00905209711737095,27,2,12,0.0436990821628943,0.787878787878788
Full SARS-CoV-2 proteome,-0.781818181818182,-1,-0.436398345269076,0.0116512675298474,28,2,10,0.0436990821628943,0.818181818181818
Full SARS-CoV-2 proteome,-0.745454545454545,-0.978376118816846,-0.432578131854967,0.0184138413143277,29,2,10,0.0447193289062243,0.848484848484849
Full SARS-CoV-2 proteome,-0.745454545454545,-0.978376118816846,-0.432578131854967,0.0184138413143277,30,2,10,0.0447193289062243,0.878787878787879
Full SARS-CoV-2 proteome,-0.745454545454545,-0.978376118816846,-0.432578131854967,0.0184138413143277,31,2,10,0.0447193289062243,0.909090909090909
Full SARS-CoV-2 proteome,-0.816666666666667,-1,-0.492505652992894,0.0107694003527337,32,2,9,0.0436990821628943,0.939393939393939
Full SARS-CoV-2 proteome,-0.785714285714286,-1,-0.249275167918416,0.0279265873015873,33,2,8,0.0558531746031746,0.96969696969697
Full SARS-CoV-2 proteome,-0.785714285714286,-1,-0.249275167918416,0.0279265873015873,34,2,8,0.0558531746031746,1
SARS-CoV-2 structural proteins,0.0889328063241107,-0.36312603436313,0.538067671082654,0.685773563420889,1,3,23,0.81276866775809,0
SARS-CoV-2 structural proteins,0.0615471485036702,-0.40761446445614,0.528291469320464,0.785605275918806,2,3,22,0.837978960980059,0.032258064516129
SARS-CoV-2 structural proteins,0.0626764539808018,-0.37177483889355,0.495166547569448,0.781729268563215,3,3,22,0.837978960980059,0.0645161290322581
SARS-CoV-2 structural proteins,0.0446075663466968,-0.42307545200481,0.509850487912468,0.844299608202933,4,3,22,0.871535079435286,0.0967741935483871
SARS-CoV-2 structural proteins,-0.00846979107848673,-0.499073658565315,0.480811407122491,0.971889380868114,5,3,22,0.971889380868114,0.129032258064516
SARS-CoV-2 structural proteins,-0.102202145680407,-0.547103547513881,0.343907902224548,0.649889369702912,6,3,22,0.799863839634353,0.161290322580645
SARS-CoV-2 structural proteins,-0.0818746470920384,-0.572139777137766,0.408892185096647,0.716689695963333,7,3,22,0.819073938243809,0.193548387096774
SARS-CoV-2 structural proteins,-0.214003387916431,-0.648506282102259,0.22428507698392,0.33731124243768,8,3,22,0.43175839032023,0.225806451612903
SARS-CoV-2 structural proteins,-0.264822134387352,-0.704127008427905,0.179248910010626,0.23267899540013,9,3,22,0.312980716556118,0.258064516129032
SARS-CoV-2 structural proteins,-0.26369282891022,-0.700200849052663,0.177512947661076,0.234735537417088,10,3,22,0.312980716556118,0.290322580645161
SARS-CoV-2 structural proteins,-0.277922077922078,-0.71862129396014,0.16802381955739,0.221707130967851,11,3,21,0.312980716556118,0.32258064516129
SARS-CoV-2 structural proteins,-0.302597402597403,-0.736569043850018,0.137641108154672,0.182041565327241,12,3,21,0.277396670974843,0.354838709677419
SARS-CoV-2 structural proteins,-0.311688311688312,-0.755873195750925,0.138093032580842,0.168760857560329,13,3,21,0.270017372096527,0.387096774193548
SARS-CoV-2 structural proteins,-0.311688311688312,-0.75720964086888,0.138788216633528,0.168760857560329,14,3,21,0.270017372096527,0.419354838709677
SARS-CoV-2 structural proteins,-0.369924812030075,-0.806619540612589,0.073222737189984,0.109091366246343,15,3,20,0.193940206660166,0.451612903225806
SARS-CoV-2 structural proteins,-0.445614035087719,-0.847401380071602,-0.0343126467599549,0.0574116154748967,16,3,19,0.108068923246864,0.483870967741935
SARS-CoV-2 structural proteins,-0.524509803921569,-0.890600110304243,-0.142795674145096,0.0327203629165166,17,3,17,0.0654407258330331,0.516129032258065
SARS-CoV-2 structural proteins,-0.614705882352941,-0.93780366413602,-0.268584101461901,0.0131028438130101,18,3,16,0.0491922649792343,0.548387096774194
SARS-CoV-2 structural proteins,-0.632142857142857,-0.979980635630382,-0.25694068380599,0.0135118119874372,19,3,15,0.0491922649792343,0.580645161290323
SARS-CoV-2 structural proteins,-0.632142857142857,-0.979980635630382,-0.25694068380599,0.0135118119874372,20,3,15,0.0491922649792343,0.612903225806452
SARS-CoV-2 structural proteins,-0.736263736263736,-0.999553701358423,-0.442104331391835,0.00381884760833046,21,3,14,0.0491922649792343,0.645161290322581
SARS-CoV-2 structural proteins,-0.699300699300699,-1,-0.317014118383751,0.0145393118705073,22,3,12,0.0491922649792343,0.67741935483871
SARS-CoV-2 structural proteins,-0.678321678321678,-1,-0.285923782024882,0.0188251260525212,23,3,12,0.0491922649792343,0.709677419354839
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.263843088859134,0.0230588742090161,24,3,11,0.0491922649792343,0.741935483870968
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.263843088859134,0.0230588742090161,25,3,11,0.0491922649792343,0.774193548387097
SARS-CoV-2 structural proteins,-0.690909090909091,-1,-0.263843088859134,0.0230588742090161,26,3,11,0.0491922649792343,0.806451612903226
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,27,3,10,0.0491922649792343,0.838709677419355
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,28,3,10,0.0491922649792343,0.870967741935484
SARS-CoV-2 structural proteins,-0.781818181818182,-1,-0.486116350330246,0.0116512675298474,29,3,10,0.0491922649792343,0.903225806451613
SARS-CoV-2 structural proteins,-0.766666666666667,-1,-0.282817397401566,0.0213899911816578,30,3,9,0.0491922649792343,0.935483870967742
SARS-CoV-2 structural proteins,-0.766666666666667,-1,-0.282817397401566,0.0213899911816578,31,3,9,0.0491922649792343,0.967741935483871
SARS-CoV-2 structural proteins,-0.766666666666667,-1,-0.282817397401566,0.0213899911816578,32,3,9,0.0491922649792343,1
Full SARS-CoV-2 proteome,0.127470355731225,-0.343808236040616,0.595012756038349,0.560709637652359,1,3,23,0.690104169418288,0
Full SARS-CoV-2 proteome,0.0717108977978543,-0.408161297506173,0.548550075601695,0.750912668820141,2,3,22,0.825592205611814,0.032258064516129
Full SARS-CoV-2 proteome,0.0649350649350649,-0.378110334534077,0.505882437261354,0.773992692761075,3,3,22,0.825592205611814,0.0645161290322581
Full SARS-CoV-2 proteome,0.0412196499153021,-0.433275906870556,0.513480351700999,0.856147866221346,4,3,22,0.88376553932526,0.0967741935483871
Full SARS-CoV-2 proteome,-0.0231507622811971,-0.514921776130108,0.468186963353353,0.919796364375137,5,3,22,0.919796364375137,0.129032258064516
Full SARS-CoV-2 proteome,-0.115753811405985,-0.569509512013522,0.340031502415933,0.606752379548284,6,3,22,0.709711195674686,0.161290322580645
Full SARS-CoV-2 proteome,-0.111236589497459,-0.600186007694227,0.378944279413728,0.62099729621535,7,3,22,0.709711195674686,0.193548387096774
Full SARS-CoV-2 proteome,-0.237718802936194,-0.682441613832132,0.211177257602833,0.285397069171216,8,3,22,0.365308248539156,0.225806451612903
Full SARS-CoV-2 proteome,-0.279503105590062,-0.717748533720256,0.163348860397544,0.207038058902867,9,3,22,0.288052951517033,0.258064516129032
Full SARS-CoV-2 proteome,-0.288537549407115,-0.73047042180249,0.158549172274278,0.192257739449941,10,3,22,0.279647621018095,0.290322580645161
Full SARS-CoV-2 proteome,-0.272727272727273,-0.739803053127467,0.199245410353964,0.230745734519215,11,3,21,0.307660979358953,0.32258064516129
Full SARS-CoV-2 proteome,-0.297402597402597,-0.755619666482015,0.166731562415715,0.189949025335463,12,3,21,0.279647621018095,0.354838709677419
Full SARS-CoV-2 proteome,-0.306493506493506,-0.762004954606477,0.155547145193116,0.176263504775675,13,3,21,0.279647621018095,0.387096774193548
Full SARS-CoV-2 proteome,-0.320779220779221,-0.772682674439986,0.137974066987443,0.156177847875337,14,3,21,0.263036375368988,0.419354838709677
