Country, Both sexes
Georgia,27.6 [27.1-28.1]
Germany,26.6 [25.9-27.2]
Ghana,23.9 [23.4-24.4]
Greece,27.1 [26.2-28.1]
Grenada,27.0 [26.2-27.8]
Guatemala,26.6 [25.7-27.4]
Guinea,22.9 [21.9-23.9]
Guinea-Bissau,23.4 [22.0-24.8]
Guyana,26.4 [25.5-27.4]
Haiti,25.3 [23.9-26.6]
Honduras,26.8 [25.7-27.8]
Hungary,27.3 [25.9-28.7]
Iceland,26.2 [25.5-27.0]
India,21.8 [21.4-22.2]
Indonesia,23.1 [22.7-23.6]
Iran (Islamic Republic of),26.1 [25.7-26.6]
Iraq,28.8 [28.2-29.3]
Ireland,27.5 [26.7-28.1]
Israel,27.3 [26.4-28.2]
Italy,25.6 [25.1-26.1]
Jamaica,27.8 [26.9-28.7]
Japan,22.7 [22.3-23.0]
Jordan,29.0 [28.6-29.4]
Kazakhstan,26.4 [25.7-27.0]
Kenya,23.3 [22.8-23.9]
Kiribati,30.1 [28.9-31.2]
Kuwait,29.6 [29.0-30.1]
Kyrgyzstan,26.6 [26.0-27.2]
Lao People's Democratic Republic,22.9 [22.3-23.6]
Latvia,26.7 [25.8-27.5]
Lebanon,27.6 [26.8-28.5]
Lesotho,24.9 [24.4-25.5]
Liberia,24.1 [23.5-24.7]
Libya,28.1 [27.2-28.9]
Lithuania,26.4 [25.4-27.5]
Luxembourg,26.3 [25.4-27.2]
Madagascar,21.3 [20.3-22.3]
Malawi,22.9 [22.2-23.5]
Malaysia,25.7 [25.3-26.1]
Maldives,25.5 [24.7-26.2]
Mali,23.0 [22.0-24.0]
Malta,27.1 [25.4-28.7]
Marshall Islands,29.6 [28.3-30.8]
Mauritania,24.9 [23.7-26.1]
Mauritius,25.2 [24.4-26.0]
Mexico,28.0 [27.6-28.3]
Micronesia (Federated States of),29.7 [28.7-30.6]
Monaco,No data
Mongolia,26.2 [25.6-26.8]
Montenegro,26.5 [24.9-28.2]
Morocco,26.0 [24.8-27.0]
Mozambique,22.8 [22.2-23.3]
Myanmar,22.6 [22.1-23.2]
Namibia,24.2 [23.4-25.0]
Nauru,32.5 [31.4-33.5]
Nepal,22.5 [22.0-23.0]
Netherlands,25.6 [24.9-26.2]
New Zealand,28.0 [27.8-28.3]
Nicaragua,27.2 [26.1-28.4]
Niger,21.8 [21.0-22.6]
Nigeria,23.2 [22.6-23.9]
Niue,32.4 [31.5-33.2]
Norway,26.7 [25.7-27.7]
Oman,26.3 [25.4-27.2]
Pakistan,23.9 [23.4-24.5]
Palau,29.5 [28.8-30.3]
Panama,26.9 [25.9-27.9]
Papua New Guinea,25.6 [24.6-26.7]
Paraguay,26.7 [24.5-28.9]
Peru,26.7 [26.3-27.0]
Philippines,23.2 [22.5-23.8]
Poland,26.7 [26.3-27.1]
Portugal,25.6 [24.9-26.4]
Qatar,29.2 [28.4-29.9]
Republic of Korea,23.8 [23.5-24.0]
Republic of Moldova,27.0 [26.3-27.7]
Republic of North Macedonia,26.8 [25.2-28.4]
Romania,26.9 [26.5-27.3]
Russian Federation,26.2 [25.6-26.8]
Rwanda,22.1 [21.6-22.5]
Saint Kitts and Nevis,29.5 [28.1-30.8]
Saint Lucia,30.0 [29.2-30.8]
Saint Vincent and the Grenadines,27.2 [25.2-29.3]
Samoa,32.2 [31.5-32.8]
San Marino,No data
Sao Tome and Principe,24.8 [24.0-25.6]
Saudi Arabia,28.5 [27.9-29.0]
Senegal,23.0 [22.2-23.7]
Serbia,26.1 [25.5-26.6]
Seychelles,26.7 [26.1-27.4]
Sierra Leone,22.7 [22.1-23.3]
Singapore,23.6 [23.1-24.2]
Slovakia,26.4 [25.8-27.1]
Slovenia,26.6 [25.1-28.0]
Solomon Islands,26.3 [25.8-26.9]
Somalia,23.2 [21.1-25.2]
South Africa,27.3 [26.8-27.7]
South Sudan,No data
Spain,25.9 [25.4-26.4]
Sri Lanka,23.1 [22.6-23.7]
Sudan,No data
Sudan (former),24.7 [23.4-26.0]
Suriname,26.5 [25.4-27.6]
Sweden,26.0 [25.3-26.8]
Switzerland,25.2 [24.4-26.0]
Syrian Arab Republic,28.3 [27.1-29.4]
Tajikistan,26.1 [25.6-26.6]
Thailand,24.4 [23.7-25.2]
Timor-Leste,21.3 [20.8-21.9]
Togo,23.6 [22.9-24.3]
Tonga,32.2 [31.4-32.9]
Trinidad and Tobago,27.6 [26.2-28.9]
Tunisia,26.3 [25.4-27.2]
Turkey,27.9 [27.5-28.3]
Turkmenistan,26.6 [25.9-27.2]
Tuvalu,30.8 [28.9-32.6]
Uganda,22.5 [22.0-23.0]
Ukraine,26.6 [25.0-28.2]
United Arab Emirates,28.4 [27.2-29.7]
United Kingdom of Great Britain and Northern Ireland,27.1 [26.8-27.5]
United Republic of Tanzania,23.2 [22.7-23.7]
United States of America,28.9 [28.5-29.3]
Uruguay,27.4 [26.5-28.2]
Uzbekistan,26.9 [26.3-27.5]
Vanuatu,26.2 [25.4-26.9]
Venezuela (Bolivarian Republic of),26.7 [26.2-27.2]
Viet Nam,21.9 [21.5-22.3]
Yemen,23.8 [23.1-24.5]
Zambia,22.6 [21.7-23.4]
Zimbabwe,23.8 [23.3-24.3]
